id_conversa;id_cliente;segmento_cliente;idioma;categoria_assunto;ordem;timestamp;remetente;texto;sentimento;tipo_midia;contem_dado_mascarado
CONV-000155;CLI-9EBE44F9F140;Correntista Nacional;PT;Ruido / Nao-atendimento;1;2026-02-17 19:22:32;Cliente;Foi engano, pode ignorar.;Neutro;texto;False
CONV-000155;CLI-9EBE44F9F140;Correntista Nacional;PT;Ruido / Nao-atendimento;2;2026-02-17 19:22:42;Kenzie;Ola! Sou a Kenzie, assistente virtual do banco. Como posso ajudar? Tudo bem! Estou por aqui se precisar.;;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;1;2026-02-17 06:50:00;Kenzie;Ola! Sou a Kenzie, assistente virtual do banco. Temos novidades sobre o seu CDB, quer saber mais?;;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;2;2026-02-17 06:51:07;Cliente;Meu limite de PIX caiu de repente. Que servico pessimo, decepcionante. 😞;Negativo;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;3;2026-02-17 06:51:17;Kenzie;Posso mostrar seus limites atuais e registrar um pedido de ajuste.;;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;4;2026-02-17 06:51:25;Kenzie;Desculpe, acho que nao entendi. Voce quer falar sobre cartao de credito?;;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;5;2026-02-17 06:52:46;Cliente;Nao, nao e sobre isso.;Negativo;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;6;2026-02-17 06:53:03;Kenzie;Posso mostrar seus limites atuais e registrar um pedido de ajuste.;;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;7;2026-02-17 06:55:00;Cliente;[audio transcrito] Continua sem funcionar. Isso e um absurdo. 😞 Minha conta e [CONTA].;Negativo;audio;True
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;8;2026-02-17 06:55:17;Kenzie;Consegui puxar a informacao, so um momento.;;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;9;2026-02-17 06:55:56;Cliente;Entendi, e depois ddisso?;Neutro;texto;False
CONV-002815;CLI-7F31ACC6E710;CDE;PT;Alteracao de Limites;10;2026-02-17 06:55:59;Kenzie;Ja localizei seu cadastro, um instante.;;texto;False
