data_ref;dia_semana;conversas;pct_resolvido_bot;pct_negativo;csat_medio
2026-02-17;Tuesday;184;31.5;21.7;3.88
2026-02-18;Wednesday;198;32.8;20.7;3.78
2026-02-19;Thursday;196;30.6;22.4;3.83
2026-02-20;Friday;164;32.9;25.0;3.75
2026-02-21;Saturday;108;32.4;24.1;4.3
2026-02-22;Sunday;75;37.3;16.0;4.15
2026-02-23;Monday;354;29.4;20.6;3.8
2026-02-24;Tuesday;186;28.0;21.0;3.75
2026-02-25;Wednesday;187;35.8;23.5;3.8
2026-02-26;Thursday;191;28.8;20.4;3.86
2026-02-27;Friday;201;28.4;23.4;3.92
2026-02-28;Saturday;129;28.7;17.8;4.02
2026-03-01;Sunday;119;27.7;28.6;3.97
2026-03-02;Monday;262;24.4;21.8;3.77
2026-03-03;Tuesday;246;28.5;23.6;4.17
2026-03-04;Wednesday;250;29.6;26.8;3.83
2026-03-05;Thursday;238;31.9;19.7;3.7
2026-03-06;Friday;216;29.6;21.3;3.7
2026-03-07;Saturday;145;26.2;22.8;3.64
2026-03-08;Sunday;112;26.8;32.1;3.82
2026-03-09;Monday;260;30.8;21.9;3.86
2026-03-10;Tuesday;244;26.6;26.6;3.65
2026-03-11;Wednesday;179;25.1;24.6;3.69
2026-03-12;Thursday;210;27.1;23.8;3.57
2026-03-13;Friday;186;31.2;25.8;3.96
2026-03-14;Saturday;102;27.5;21.6;3.79
2026-03-15;Sunday;91;30.8;26.4;3.66
2026-03-16;Monday;253;26.9;23.3;3.92
2026-03-17;Tuesday;379;28.0;21.1;3.7
2026-03-18;Wednesday;183;24.6;28.4;3.5
2026-03-19;Thursday;193;25.9;25.9;3.63
2026-03-20;Friday;178;23.0;26.4;3.68
2026-03-21;Saturday;123;22.0;19.5;3.36
2026-03-22;Sunday;101;24.8;23.8;3.77
2026-03-23;Monday;208;27.4;20.7;3.91
2026-03-24;Tuesday;211;27.0;27.5;3.67
2026-03-25;Wednesday;179;26.8;23.5;3.93
2026-03-26;Thursday;210;23.8;22.4;3.67
2026-03-27;Friday;168;20.8;26.8;3.64
2026-03-28;Saturday;111;26.1;22.5;3.85
2026-03-29;Sunday;99;24.2;16.2;4.04
2026-03-30;Monday;228;24.1;24.1;4.03
2026-03-31;Tuesday;207;25.6;31.4;3.45
2026-04-01;Wednesday;218;22.9;26.1;3.91
2026-04-02;Thursday;220;30.5;25.0;3.82
2026-04-03;Friday;211;25.6;25.6;3.88
2026-04-04;Saturday;129;31.8;27.1;3.43
2026-04-05;Sunday;114;32.5;17.5;3.5
2026-04-06;Monday;281;24.2;26.3;3.77
2026-04-07;Tuesday;251;27.1;27.1;3.92
2026-04-08;Wednesday;243;26.7;23.0;3.83
2026-04-09;Thursday;251;25.9;24.7;3.7
2026-04-10;Friday;207;24.2;28.5;3.78
2026-04-11;Saturday;110;25.5;25.5;3.79
2026-04-12;Sunday;89;24.7;21.3;3.5
2026-04-13;Monday;236;27.5;22.9;3.65
2026-04-14;Tuesday;194;28.9;22.7;4.16
2026-04-15;Wednesday;174;23.6;27.6;3.72
2026-04-16;Thursday;203;27.6;24.6;3.58
2026-04-17;Friday;191;26.7;26.2;3.65
2026-04-18;Saturday;137;27.0;21.9;4.08
2026-04-19;Sunday;89;25.8;23.6;4.07
2026-04-20;Monday;373;29.0;25.2;3.78
2026-04-21;Tuesday;204;22.5;32.4;3.7
2026-04-22;Wednesday;204;32.4;23.0;3.99
2026-04-23;Thursday;201;25.9;25.4;3.94
2026-04-24;Friday;177;26.6;22.6;3.71
2026-04-25;Saturday;125;24.8;24.8;3.82
2026-04-26;Sunday;110;35.5;24.5;3.87
2026-04-27;Monday;275;24.7;28.0;3.77
2026-04-28;Tuesday;316;27.5;25.9;3.78
2026-04-29;Wednesday;187;23.5;29.4;3.37
2026-04-30;Thursday;179;24.6;26.3;3.73
2026-05-01;Friday;201;23.9;22.4;3.86
2026-05-02;Saturday;126;29.4;22.2;3.93
2026-05-03;Sunday;102;28.4;20.6;3.77
2026-05-04;Monday;263;29.7;27.0;3.71
2026-05-05;Tuesday;255;28.6;27.8;3.61
2026-05-06;Wednesday;224;30.4;26.8;3.69
2026-05-07;Thursday;243;25.9;25.1;3.78
2026-05-08;Friday;248;26.2;23.0;3.61
2026-05-09;Saturday;146;26.7;27.4;3.8
2026-05-10;Sunday;121;27.3;24.8;3.5
2026-05-11;Monday;241;32.0;22.0;3.9
2026-05-12;Tuesday;198;23.7;26.3;3.83
2026-05-13;Wednesday;216;20.4;28.2;3.56
2026-05-14;Thursday;212;21.7;23.6;3.78
2026-05-15;Friday;158;24.1;29.7;3.59
2026-05-16;Saturday;120;25.0;24.2;3.83
2026-05-17;Sunday;107;29.0;29.0;3.54
2026-05-18;Monday;244;25.4;26.6;3.51
2026-05-19;Tuesday;197;23.9;26.9;3.47
2026-05-20;Wednesday;231;28.1;21.6;3.81
2026-05-21;Thursday;197;23.9;32.0;3.47
2026-05-22;Friday;176;26.1;27.8;3.41
2026-05-23;Saturday;133;26.3;33.1;3.76
2026-05-24;Sunday;113;26.5;23.0;3.78
2026-05-25;Monday;257;26.8;21.0;3.96
2026-05-26;Tuesday;213;20.7;26.8;3.68
2026-05-27;Wednesday;201;23.4;20.9;3.61
2026-05-28;Thursday;214;24.8;31.3;3.63
2026-05-29;Friday;190;24.2;29.5;3.85
2026-05-30;Saturday;117;20.5;30.8;3.15
2026-05-31;Sunday;121;26.4;30.6;3.58
2026-06-01;Monday;285;21.8;29.8;3.76
2026-06-02;Tuesday;258;23.6;32.9;3.59
2026-06-03;Wednesday;244;27.9;29.5;3.79
2026-06-04;Thursday;240;24.2;26.3;3.79
2026-06-05;Friday;236;22.5;28.8;3.78
2026-06-06;Saturday;135;25.9;19.3;3.68
2026-06-07;Sunday;133;27.8;24.8;3.6
2026-06-08;Monday;290;25.9;26.9;3.62
2026-06-09;Tuesday;289;25.3;24.9;3.94
2026-06-10;Wednesday;243;20.6;32.1;3.8
2026-06-11;Thursday;214;21.5;32.2;3.66
2026-06-12;Friday;217;20.7;26.3;3.44
2026-06-13;Saturday;117;24.8;33.3;3.62
2026-06-14;Sunday;112;32.1;25.9;3.71
2026-06-15;Monday;268;25.0;27.2;3.74
2026-06-16;Tuesday;226;22.1;28.8;3.45
2026-06-17;Wednesday;193;26.4;32.1;3.94
2026-06-18;Thursday;232;16.4;31.9;3.54
2026-06-19;Friday;216;25.5;30.6;3.85
2026-06-20;Saturday;131;27.5;29.8;4.08
2026-06-21;Sunday;118;22.9;28.0;3.78
2026-06-22;Monday;234;22.2;28.6;3.68
2026-06-23;Tuesday;224;26.8;28.6;3.73
