dia_semana_num;dia_semana;hora;conversas;pct_resolvido_bot;pct_fila_abandonada
1;Sunday;0;29;31.0;6.9
1;Sunday;1;21;38.1;4.8
1;Sunday;2;25;24.0;4.0
1;Sunday;3;22;22.7;0.0
1;Sunday;4;86;23.3;8.1
1;Sunday;5;77;27.3;2.6
1;Sunday;6;81;27.2;4.9
1;Sunday;7;93;21.5;3.2
1;Sunday;8;175;32.0;3.4
1;Sunday;9;206;21.8;1.9
1;Sunday;10;201;30.8;4.5
1;Sunday;11;190;34.7;2.6
1;Sunday;12;229;31.4;3.5
1;Sunday;13;212;24.1;4.2
1;Sunday;14;225;28.9;1.8
1;Sunday;15;214;28.0;2.8
1;Sunday;16;168;22.0;3.6
1;Sunday;17;158;23.4;7.6
1;Sunday;18;140;27.9;2.1
1;Sunday;19;146;27.4;5.5
1;Sunday;20;50;20.0;8.0
1;Sunday;21;57;26.3;1.8
1;Sunday;22;38;15.8;2.6
1;Sunday;23;27;18.5;3.7
2;Monday;0;74;31.1;4.1
2;Monday;1;65;26.2;6.2
2;Monday;2;61;24.6;0.0
2;Monday;3;70;28.6;7.1
2;Monday;4;191;30.4;2.6
2;Monday;5;224;25.9;4.9
2;Monday;6;256;21.9;4.7
2;Monday;7;231;26.0;2.6
2;Monday;8;434;29.5;4.8
2;Monday;9;422;27.5;5.0
2;Monday;10;511;24.3;2.3
2;Monday;11;566;26.7;3.7
2;Monday;12;504;24.8;4.4
2;Monday;13;491;25.7;4.5
2;Monday;14;506;24.7;4.3
2;Monday;15;495;23.6;5.1
2;Monday;16;361;27.4;4.2
2;Monday;17;326;21.2;3.1
2;Monday;18;368;23.9;3.8
2;Monday;19;344;25.3;5.5
2;Monday;20;154;22.1;4.5
2;Monday;21;174;22.4;3.4
2;Monday;22;75;20.0;2.7
2;Monday;23;85;28.2;3.5
3;Tuesday;0;72;26.4;2.8
3;Tuesday;1;45;17.8;8.9
3;Tuesday;2;55;21.8;1.8
3;Tuesday;3;59;27.1;0.0
3;Tuesday;4;183;22.4;5.5
3;Tuesday;5;221;23.1;4.1
3;Tuesday;6;213;31.5;4.2
3;Tuesday;7;220;26.8;2.7
3;Tuesday;8;371;29.1;6.7
3;Tuesday;9;375;25.1;4.3
3;Tuesday;10;466;26.2;4.1
3;Tuesday;11;377;27.6;4.5
3;Tuesday;12;464;25.6;5.0
3;Tuesday;13;445;25.2;4.9
3;Tuesday;14;478;26.6;4.2
3;Tuesday;15;444;23.9;3.8
3;Tuesday;16;327;28.4;3.7
3;Tuesday;17;329;20.4;2.7
3;Tuesday;18;326;24.5;2.8
3;Tuesday;19;318;24.2;3.5
3;Tuesday;20;137;21.9;2.9
3;Tuesday;21;134;26.1;6.7
3;Tuesday;22;74;24.3;4.1
3;Tuesday;23;82;19.5;1.2
4;Wednesday;0;68;30.9;7.4
4;Wednesday;1;57;24.6;1.8
4;Wednesday;2;56;14.3;3.6
4;Wednesday;3;62;27.4;1.6
4;Wednesday;4;156;25.6;3.8
4;Wednesday;5;194;29.4;4.1
4;Wednesday;6;183;23.0;2.2
4;Wednesday;7;196;26.0;4.1
4;Wednesday;8;351;24.2;3.7
4;Wednesday;9;330;25.8;4.5
4;Wednesday;10;400;24.5;3.5
4;Wednesday;11;416;24.3;4.1
4;Wednesday;12;418;26.3;3.3
4;Wednesday;13;397;24.2;5.3
4;Wednesday;14;422;23.7;4.7
4;Wednesday;15;421;24.0;4.0
4;Wednesday;16;297;29.0;3.4
4;Wednesday;17;287;25.1;5.6
4;Wednesday;18;280;28.2;5.4
4;Wednesday;19;254;24.8;2.8
4;Wednesday;20;114;16.7;2.6
4;Wednesday;21;118;15.3;4.2
4;Wednesday;22;64;29.7;4.7
4;Wednesday;23;59;23.7;1.7
5;Thursday;0;56;23.2;5.4
5;Thursday;1;54;22.2;3.7
5;Thursday;2;47;31.9;2.1
5;Thursday;3;61;26.2;1.6
5;Thursday;4;180;27.8;3.9
5;Thursday;5;205;22.4;2.4
5;Thursday;6;188;20.2;3.7
