categoria_assunto;conversas;pct_do_total;pct_negativo;pct_resolvido_bot;pct_transferencia;csat_medio;duracao_media_min;pct_reabertura
Cambio;4665;13.0;28.4;25.8;51.1;3.7;13.8;17.4
Onboarding - Documentacao;4457;12.4;29.8;17.4;56.6;3.64;14.9;18.5
Bloqueio TED/PIX;4433;12.3;31.6;14.3;58.9;3.59;15.3;17.6
Primeiro Acesso;3819;10.6;26.3;31.8;45.6;3.76;13.0;18.2
Disparo Ativo;3477;9.7;36.7;0.0;0.0;4.12;0.5;19.3
Cartao de Credito;3422;9.5;25.5;36.2;44.2;3.76;12.7;17.1
Alteracao de Limites;3390;9.4;27.4;27.0;50.3;3.65;13.7;17.0
Termos e Documentacao BR;2320;6.4;24.7;29.3;49.4;3.74;13.7;17.2
Investimentos CDB;2278;6.3;20.2;49.4;34.2;3.87;11.2;18.4
Saldo e Extrato;2024;5.6;15.5;61.1;26.0;4.02;9.6;17.4
Ruido / Nao-atendimento;1481;4.1;0.0;0.0;0.0;4.06;0.5;17.8
Operacoes PJ - Folha e Pagamentos;234;0.7;29.9;27.8;50.4;3.78;13.6;17.9
