segmento_cliente;produto_relacionado;conversas;pct_negativo;pct_resolvido_bot;csat_medio
CDE;Conta Corrente;14675;27.0;26.4;3.71
CDE;Cambio;4232;28.1;26.0;3.72
CDE;N/A;3488;25.3;0.0;4.09
CDE;Cartao de Credito;1692;26.1;36.7;3.73
CDE;CDB;1282;20.1;48.9;3.85
Correntista Nacional;Conta Corrente;5333;27.8;27.8;3.72
Correntista Nacional;Cartao de Credito;1658;24.5;36.4;3.8
Correntista Nacional;N/A;1322;26.9;0.0;4.11
Correntista Nacional;CDB;996;20.4;50.1;3.9
Correntista Nacional;Cambio;239;31.0;26.4;3.7
PJ;Conta Corrente;435;25.3;21.4;3.59
PJ;Conta PJ;234;29.9;27.8;3.78
PJ;Cambio;194;29.9;21.6;3.22
PJ;N/A;148;24.3;0.0;4.33
PJ;Cartao de Credito;72;31.9;19.4;3.85
