categoria_assunto;canal_entrada;conversas;resolvidas_bot;pct_resolvido_bot;csat_quando_bot_resolve;csat_quando_nao_resolve;media_turnos
Cambio;WhatsApp;4665;1204;25.8;4.35;3.41;12.8
Onboarding - Documentacao;WhatsApp;4457;776;17.4;4.44;3.42;13.3
Bloqueio TED/PIX;WhatsApp;4433;632;14.3;4.33;3.43;13.4
Primeiro Acesso;WhatsApp;3819;1213;31.8;4.34;3.39;12.5
Disparo Ativo;WhatsApp;3477;0;0.0;;4.12;1.7
Cartao de Credito;WhatsApp;3422;1238;36.2;4.34;3.33;12.4
Alteracao de Limites;WhatsApp;3390;914;27.0;4.3;3.35;12.9
Termos e Documentacao BR;WhatsApp;2320;680;29.3;4.29;3.43;12.9
Investimentos CDB;WhatsApp;2278;1126;49.4;4.33;3.29;11.9
Saldo e Extrato;WhatsApp;2024;1236;61.1;4.3;3.46;11.3
Ruido / Nao-atendimento;WhatsApp;1481;0;0.0;;4.06;2.5
Operacoes PJ - Folha e Pagamentos;WhatsApp;234;65;27.8;4.45;3.39;12.7
