motivo;area;conversas;pct_atendido;csat_medio;duracao_media_min
(sem motivo registrado);(sem area);8304;82.2;4.08;21.1
Excecao de regra de negocio;Cadastro/Onboarding;354;100.0;3.52;24.6
Necessita acao em sistema interno;Cadastro/Onboarding;340;100.0;3.65;24.7
Validacao de seguranca;Cadastro/Onboarding;333;100.0;3.49;25.0
Analise manual/documental;Cadastro/Onboarding;332;100.0;3.48;24.7
Fora do escopo do bot;Cadastro/Onboarding;294;100.0;3.34;24.3
Fora do escopo do bot;Prevencao a Fraude;264;100.0;3.37;24.7
Necessita acao em sistema interno;Cambio/Backoffice;236;100.0;3.66;24.2
Validacao de seguranca;Prevencao a Fraude;234;100.0;3.53;24.3
Necessita acao em sistema interno;Prevencao a Fraude;227;100.0;3.57;24.4
Analise manual/documental;Prevencao a Fraude;223;100.0;3.36;24.9
Excecao de regra de negocio;Prevencao a Fraude;215;100.0;3.59;23.7
Excecao de regra de negocio;Cambio/Backoffice;211;100.0;3.48;24.8
Fora do escopo do bot;Cambio/Backoffice;209;100.0;3.5;24.7
Analise manual/documental;Cambio/Backoffice;205;100.0;3.43;24.0
Validacao de seguranca;Cambio/Backoffice;183;100.0;3.1;24.1
Analise manual/documental;Suporte Tecnico;173;100.0;3.47;24.7
Fora do escopo do bot;Suporte Tecnico;169;100.0;3.31;23.8
Validacao de seguranca;Mesa de Limites;162;100.0;3.45;24.3
Excecao de regra de negocio;Suporte Tecnico;159;100.0;3.46;24.2
Fora do escopo do bot;Cartoes;159;100.0;3.16;24.7
Excecao de regra de negocio;Mesa de Limites;157;100.0;3.56;24.8
Validacao de seguranca;Suporte Tecnico;153;100.0;3.31;23.8
Fora do escopo do bot;Mesa de Limites;153;100.0;3.3;24.9
Necessita acao em sistema interno;Suporte Tecnico;147;100.0;3.73;25.0
Necessita acao em sistema interno;Mesa de Limites;146;100.0;3.52;24.7
Necessita acao em sistema interno;Cartoes;140;100.0;3.18;24.5
Analise manual/documental;Cartoes;135;100.0;3.08;23.8
Analise manual/documental;Mesa de Limites;133;100.0;3.22;25.5
Excecao de regra de negocio;Cartoes;131;100.0;3.58;24.4
Validacao de seguranca;Cartoes;127;100.0;3.59;25.8
Analise manual/documental;Investimentos;86;100.0;3.0;24.8
Fora do escopo do bot;Investimentos;79;100.0;3.42;24.8
Excecao de regra de negocio;Investimentos;70;100.0;3.7;25.3
Necessita acao em sistema interno;Investimentos;70;100.0;3.25;24.5
Validacao de seguranca;Investimentos;54;100.0;3.36;24.5
Validacao de seguranca;Backoffice;51;100.0;3.31;23.7
Necessita acao em sistema interno;Backoffice;46;100.0;3.82;24.3
Analise manual/documental;Backoffice;46;100.0;3.18;25.1
Fora do escopo do bot;Backoffice;45;100.0;3.95;24.2
Excecao de regra de negocio;Backoffice;40;100.0;3.5;25.0
Excecao de regra de negocio;Atendimento PJ;14;100.0;3.0;23.3
Fora do escopo do bot;Atendimento PJ;12;100.0;4.33;21.1
Analise manual/documental;Atendimento PJ;10;100.0;1.0;23.7
Validacao de seguranca;Atendimento PJ;9;100.0;2.5;25.9
Necessita acao em sistema interno;Atendimento PJ;8;100.0;3.75;21.9
