status_conversa;conversas;pct_do_total;duracao_media_min;media_turnos;media_turnos_cliente;csat_medio;horas_totais
Resolvida por humano;11409;31.7;24.6;17.5;7.6;4.19;4675.0
Resolvida pelo bot;9084;25.2;5.2;9.5;4.6;4.34;786.0
Abandonada pelo cliente;6229;17.3;4.2;8.0;3.9;1.75;434.0
Sem resposta (disparo ativo);2202;6.1;0.0;1.0;0.0;4.11;0.0
Encerrada sem resolucao;2162;6.0;5.2;9.6;4.7;1.87;187.0
Transferida - sem resolucao;2158;6.0;24.4;17.5;7.6;1.82;878.0
Opt-out / descadastro;1275;3.5;1.3;3.0;1.0;4.13;28.0
Cliente ja havia resolvido;516;1.4;0.5;2.5;1.5;3.94;4.0
Ruido - contato por engano;514;1.4;0.5;2.5;1.5;4.07;4.0
Contato sem contexto (oi/teste);451;1.3;0.5;2.5;1.5;4.17;4.0
