id_conversa;id_cliente;contatos_previos;reabertura;idioma;segmento_cliente;origem_contato;categoria_assunto;categoria_prevista;area_prevista
CONV-002291;CLI-8BDDB25F9AB9;0;False;EN;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002215;CLI-BF6C4AA29747;0;False;PT;CDE;Ativo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-002253;CLI-ECC9D1A66325;3;False;PT;Correntista Nacional;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002179;CLI-A2BA93E19314;0;False;PT;PJ;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002211;CLI-0CAC4CC24CE2;2;False;EN;CDE;Ativo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-002235;CLI-54A24E0CB355;0;False;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002183;CLI-FBFE839FA208;1;True;ES;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002256;CLI-C6547383E0EF;1;False;PT;Correntista Nacional;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002218;CLI-72612BEA9018;2;False;EN;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002236;CLI-A1BB3D8BC8B3;2;True;EN;CDE;Ativo;Disparo Ativo;Disparo Ativo;
CONV-002265;CLI-117DC5CEBF23;1;False;PT;CDE;Ativo;Disparo Ativo;Disparo Ativo;
CONV-002283;CLI-43B6DBEA7527;1;False;PT;Correntista Nacional;Ativo;Disparo Ativo;Disparo Ativo;
CONV-002197;CLI-6D64FE7BE689;0;False;PT;CDE;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-002185;CLI-7A95394CE100;0;False;PT;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002271;CLI-A794D8E976B9;1;False;PT;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002278;CLI-6A04A66D82A7;0;False;PT;Correntista Nacional;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-002176;CLI-CCE1A7821046;0;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002192;CLI-3C6322B26B2F;0;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002242;CLI-1543B2AD06A7;0;False;PT;Correntista Nacional;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-002178;CLI-82988EF056AA;0;False;EN;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002264;CLI-49F15024D949;0;False;PT;CDE;Ativo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002200;CLI-12D95895B6B7;0;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002230;CLI-0A6D299BC483;0;False;ES;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002241;CLI-65AD483B1E8E;0;False;PT;Correntista Nacional;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-002262;CLI-C33EBE224CCB;0;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002175;CLI-63044397DB91;0;False;PT;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-002234;CLI-D3E21DC9F2A9;0;False;PT;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-002195;CLI-40BE5503712F;0;False;ES;CDE;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-002231;CLI-21810C6D53E6;1;False;EN;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-002279;CLI-B32D06EEE142;0;False;PT;CDE;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-002266;CLI-542C560FDB87;1;False;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002204;CLI-346B58EE8BBE;0;False;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002289;CLI-8F3D141B3355;0;False;EN;CDE;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-002220;CLI-A352BE4C8327;0;False;EN;CDE;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-002251;CLI-834937F82486;0;False;PT;CDE;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-002257;CLI-C737DF5C8867;0;False;PT;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033910;CLI-AD436C12EB84;1;False;PT;Correntista Nacional;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-033886;CLI-FE4BE13EB7F5;9;True;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-033812;CLI-44A0DB33D297;1;False;EN;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033964;CLI-882FFD366A4E;12;True;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-033814;CLI-693D9676A0F1;13;False;PT;Correntista Nacional;Ativo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033820;CLI-FD7E060930C1;2;False;PT;Correntista Nacional;Ativo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-033963;CLI-2540C8BC5477;3;False;ES;CDE;Ativo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-033933;CLI-4591381686BF;2;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-033804;CLI-B86EAB4741BA;1;False;PT;Correntista Nacional;Ativo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-033874;CLI-F2F562109ED0;8;False;PT;Correntista Nacional;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-033930;CLI-C55BD83B5007;2;False;PT;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-033761;CLI-A648482F9FD9;5;False;ES;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033854;CLI-F7F786DF8B30;5;False;PT;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033947;CLI-498A3BCCD2E2;3;False;ES;CDE;Ativo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-033785;CLI-D528FB88C7E3;9;False;EN;CDE;Ativo;Disparo Ativo;Disparo Ativo;
CONV-033936;CLI-6F47BE9CE362;3;True;PT;Correntista Nacional;Ativo;Disparo Ativo;Disparo Ativo;
CONV-033876;CLI-A3DB17A837CF;3;False;EN;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033909;CLI-337415DD5B18;0;False;PT;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033859;CLI-4C90A521B637;9;True;PT;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033775;CLI-5B97550EFAEE;2;False;PT;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-033840;CLI-7227AAF20663;0;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-033801;CLI-31BE79EA106A;0;False;EN;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033887;CLI-F7FF9E0BE5FB;0;False;EN;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-033892;CLI-CE73850D6FAB;3;True;PT;Correntista Nacional;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-033807;CLI-3D45C1869D2A;1;False;PT;PJ;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-033821;CLI-DB12BCB585BD;12;False;PT;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-033829;CLI-6C1504C14D5B;0;False;PT;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033779;CLI-E75869825D11;0;False;PT;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033938;CLI-6AD0324F7C54;2;False;PT;Correntista Nacional;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-033764;CLI-B1AFCEFB7E9D;0;False;ES;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-033919;CLI-B88B5396C0CB;4;False;PT;Correntista Nacional;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033961;CLI-9BBB5B25A3E7;2;True;ES;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-033896;CLI-70C0C2027507;0;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-033923;CLI-5BACFB890B4C;0;False;PT;PJ;Receptivo;Operacoes PJ - Folha e Pagamentos;Operacoes PJ - Folha e Pagamentos;Atendimento PJ
CONV-033960;CLI-06FB06C504FA;1;False;EN;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-033830;CLI-42AB9E7BAFDB;2;False;EN;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-033776;CLI-E979909603D5;0;False;EN;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033860;CLI-4192C069BB7B;2;False;PT;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-033950;CLI-446E548BDB2C;3;True;PT;Correntista Nacional;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033802;CLI-62CA6699D279;4;False;PT;PJ;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-033951;CLI-DD4331491154;3;False;ES;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033845;CLI-0CAC4CC24CE2;19;True;EN;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-033980;CLI-610245551570;2;False;ES;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-033810;CLI-1F41101667A3;4;False;PT;Correntista Nacional;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033922;CLI-A479C5D34D85;0;False;EN;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-033768;CLI-0163AD8802CB;18;False;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-033868;CLI-4DDD57AC9160;8;True;PT;CDE;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-033884;CLI-D5924A81460C;3;False;EN;CDE;Ativo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-033895;CLI-D1916EAB03AC;4;False;PT;Correntista Nacional;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-033815;CLI-3E801D24A3C4;5;False;PT;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-033967;CLI-5EB5EEC878C3;0;False;ES;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-033917;CLI-22ACDBBD7ADE;5;False;PT;CDE;Ativo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-033828;CLI-6D42C602FB27;1;True;PT;CDE;Ativo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-033786;CLI-5CAD2B51FDC7;0;False;PT;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-033781;CLI-DE5581CF77BC;7;False;PT;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-033822;CLI-2B87122EBA91;3;False;PT;Correntista Nacional;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-012553;CLI-3389A6C9492E;2;True;PT;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-012432;CLI-D5EC3789016E;3;False;PT;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-012564;CLI-4249964D877E;1;False;ES;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-012594;CLI-E6EC8A997FE4;0;False;PT;PJ;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-012495;CLI-4192C069BB7B;0;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-012536;CLI-0231DFD0D76D;0;False;PT;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-012473;CLI-B94E5267418D;0;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-012493;CLI-36882140DF96;1;False;PT;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-012454;CLI-DAD03EAD21CA;0;False;PT;CDE;Ativo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-012533;CLI-7AB8B8517C0B;3;True;PT;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-012401;CLI-0DFB7351F56C;0;False;EN;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-012584;CLI-365A1DF265CA;2;False;ES;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-012504;CLI-A4F18504B38F;3;False;EN;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
